college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,3BK,11650.0,11650,11650,0.0,1,11650,1749.9999965000002,13400
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,3BR,8422.0,8422,8422,0.0,1,8422,365.39999996346,8787
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,GM,5142.0,5142,5142,0.0,1,5142,57.79999999422,5200
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,GMK,11434.0,11434,11434,0.0,1,11434,33.89999999661,11468
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,GMR,8164.0,8164,8164,0.0,1,8164,344.09999996559,8508
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,SCG,22743.0,22743,22743,0.0,1,22743,4068.49999959315,26811
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,SCR,28799.0,28799,28799,0.0,1,28799,4606.9999995393,33406
E001,University Visveswariah College of Engineering Bangalore,ELECTRONICS AND COMMUNICATION ENGINEERING,STG,13006.0,13006,13006,0.0,1,13006,6357.29999936427,19363
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,1G,5591.0,5591,5591,0.0,1,5591,582.79999994172,6174
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,2AG,4143.0,4143,4143,0.0,1,4143,995.39999990046,5138
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,2AR,5549.0,5549,5549,0.0,1,5549,834.09999991659,6383
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,2BG,5915.0,5915,5915,0.0,1,5915,2085.49999979145,8000
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,3AG,2970.0,2970,2970,0.0,1,2970,580.19999994198,3550
